category_id,category_name
1,Juices
2,Chocolates & Sweets
3,Household Care|Pet Food
4,"Creams, Lotions, Skin Care"
5,Hair Care
6,Paper & Disposables
7,Masalas & Spices
8,Soaps & Body Wash
9,Atta & Flours
10,Baking
11,Ready To Cook
12,Floor & Other Cleaners
13,Ketchups & Spreads
14,Oral Care
15,Pooja Needs
16,Repellants & Fresheners
17,Biscuits
18,"Chips,Namkeen & Snacks"
19,Ghee & Oils
20,Wellness & Common Pharma
21,Cooking Sauces & Vinegar
22,Soft Drinks
23,Utensil Cleaners
24,"Dry Fruits, Nuts & Seeds"
25,Rice & Rice Products
26,Dairy
27,Baby Bath & Skin Care
28,Breakfast Cereals
29,"Deos, Perfumes & Talc"
30,Noodles & Pasta
31,Tea
32,Diapers & Wipes
33,Baby Foods
34,Dals & Pulses
35,Health Drink Mix
36,Shaving Needs
37,Kajal & Makeup
38,Pickles & Chutney
39,Jams & Honey
40,Detergents & Laundry
41,"Sugar, Jaggery & Salt"
42,Sanitary Needs
43,Coffee
44,Eggs
