product_id,product_name,price,seller_id,details,timestmp
1,B Natural Dakshin Pink Guava  (750 ml),95,91,,2019-11-12 00:46:19
2,Parle Melody Chocolaty Toffee  (195.5 g),50,301,,2019-11-28 00:31:50
3,Whiskas Adult (+1 year) Fish 3 kg Dry Cat Food,680,708,"These little pockets of fish cat food are going to have your cat crunching and munching till the last bite. Easy to serve, healthy and crunchy, this cat food is going to give you a healthier and happier cat.",2019-11-04 00:48:32
4,Enchanteur Romantic Perfumed Body Lotion  (250 ml),182,116,,2019-11-26 00:33:04
5,Pantene Hair Fall Control Shampoo  (180 ml),112,11,"If your hair falls frequently and you leave behind a strand or two wherever you go, it’s time to take a second look at the shampoo you use. Pantene Hair fall Control Shampoo is designed for use by both men and women to reduce hair fall. This Hair fall Control Shampoo gently but effectively removes impurities and excess sebum from your hair and scalp. This facilitates better absorption of the fortifying nutrients present in the Pantene Hair fall Control Shampoo. Your weak hair is left nourished and breakage is reduced considerably. With continued use your hair is left feeling nourished and repaired. Enjoy thick tresses full of bounce and volume with Pantene Hair fall Control Shampoo. Directions for Use Brush your hair before bath. Wash your hair completely with water. Pour the required amount of Pantene Hair fall Control Shampoo and apply evenly through your hair. Work into lather and massage your scalp using your fingertips. Squeeze and remove excessive lather and wash off thoroughly.",2019-11-24 00:32:29
6,Flipkart Supermart Home Essentials 1 Ply White Napkins  (Buy 1 Get 1 Free)  (100 Sheets),69,644,,2019-11-14 00:47:41
7,Suhana Biryani Masala  (100 g),107,686,,2019-11-24 00:25:13
8,Soul Punjabi Chole Instant Masala Mix  (65 g),49,562,,2019-11-23 03:08:55
9,Himalaya Fresh Start Oil Clear Strawberry Face Wash  (100 ml),126,527,,2019-11-26 00:32:17
10,Flipkart Supermart Select Chiroti Rawa  (1 kg),57,944,,2019-11-28 00:25:24
11,m&m's Milk Chocolate Truffles  (100 g),147,278,"Whether its a festival or not, sweets have their own undeniable charm. With Diwali around the corner, this pack of M&M's milk chocolate candies will be a delicious gifting option. D elicious Taste Each M&M comes in a sugary colourful shell that opens up to deliver a piece of smooth chocolate. Visual Appeal These M&M’s not only satisfies your tongue with their taste but also your eyes with their attractive colours. ",2019-11-25 00:27:48
12,Bluebird Superfine Self Rising Flour Powder  (500 g),49,465,,2019-11-11 00:32:25
13,Del Monte Cocktail Fruits  (439 g),127,529,,2019-11-07 00:30:25
14,Eastern Amchur Powder  (100 g),34,410,,2019-11-15 00:25:21
15,Harpic Germ and Stain Blaster Floral Liquid Toilet Cleaner  (750 ml),124,54,,2019-11-28 00:45:49
16,Veeba Sweet Onion Sauce  (350 g),116,196,,2019-11-20 00:28:17
17,Colgate Kids Spiderman Toothpaste  (80 g),86,333,"Kids must brush their teeth at least 2 times a day and Colgate Kids Batman Toothpaste is a fun way to ensure they enjoy good oral care habits early on! This delicious fruit flavoured toothpaste is especially designed for children of age 6 years and above who have newly erupted or developing permanent teeth. The toothpaste effectively cleanses their mouth, leaving it fresh. The kid's toothpaste also provides clinically proven cavity and enamel protection. Sparking colourful gel of Colgate strawberry toothpaste makes brushing fun for kids. Developed with the help and expertise of Pediatric dentists, Colgate offers a healthy and thorough clean. It ensures your kid's smile gets brighter and cleaner with every use.",2019-11-01 00:33:46
18,Deepa Jyothi Lamp Oil 1 L,118,108,,2019-11-22 00:39:11
19,Pro Nature Organic Kodo Millet  (500 g),103,702,,2019-11-04 00:25:01
20,Falero Wah Wah Candy,136,148,,2019-11-08 00:24:47
21,Good knight Activ+ Mosquito Vaporiser  (Rs 14 Savings Pack)  (1 Unit 1 Refill),85,455,,2019-11-16 00:37:32
22,Beardo Ultraglow All In 1 Lotion  (100 g),225,806,"BEARDO Ultraglow All in 1 Men's Face Lotion - 100g , This Special Formula is enriched with Natural and Ayurvedic Herbs which provides protection and moisturising of the skin.This formula for men has an effective sun screen of SPF30 that blocks UVA/UVB rays and prevents premature ageing of skin.This formula not only reduces dark spots and whitens the skin it also controls oil production,firms and improves elasticity of skin giving the skin a healthy radiant look.",2019-11-28 00:34:00
23,Om Bhakti Cotton Wick,23,119,,2019-11-16 00:38:52
24,ITC Master Chef Mutton Chukka Masala  (50 g),27,252,,2019-11-23 03:04:46
25,Candyman Eclairs Toffee,50,940,,2019-11-05 00:32:46
26,Listerine Mild Taste Mouthwash - Cool Mint  (250 ml),125,287,,2019-11-30 00:32:30
27,Flipkart Supermart Select Nutmeg  (100 g),113,117,,2019-11-08 00:25:05
28,Britannia Treat Orange Cream Biscuits  (120 g),30,649,,2019-11-30 00:25:08
29,Haldiram's Punjabi Tadka  (15% Extra in Pack)  (200 g),48,535,,2019-11-01 00:24:27
30,Dizzle Calcutta Pan Mouth Freshener  (130 g),107,799,,2019-11-30 00:26:53
31,"Himalaya Shine Lip Care Strawberry  (Pack of: 1, 4.5 g)",145,314,,2019-11-15 00:32:33
32,Bikano Bikaneri Bhujia  (400 g),89,373,,2019-11-22 00:25:28
33,Badshah Nawabi Meat Masala  (50 g),40,316,,2019-11-01 00:24:50
34,Cadbury Dark Milk Original Rich and Creamy Bars  (156 g),197,855,,2019-11-27 00:31:10
35,JK Kasuri Methi Leaf  (100 g),72,41,,2019-11-22 00:23:59
36,Paper Boat Juice - Guava  (1 L),77,748,,2019-11-20 00:30:39
37,Kohinoor Punjabi Paneer Butter Masala  (15 g),10,925,The smell of fresh paneer butter masala being cooked is heavenly for those who are hardcore paneer fans. This Punjabi paneer butter masala from Kohinoor will take your taste buds on a joy ride. Lavish Spread Do you have guests coming over but not enough time to cook dinner? Cook up some rich and yummy paneer butter masala in no time. Smoky Flavour The smoky flavour of Kasoor methi will add a great finishing touch to the mouth-watering paneer butter masala gravy.,2019-11-05 00:25:30
