cart_id,customer_id,product_id,quantity
1,0,17,3
2,0,8,2
3,2,14,3
4,2,12,3
5,3,25,1
6,3,25,1
7,3,1,2
8,4,1,3
9,4,21,1
10,4,21,1
11,4,27,2
12,4,18,1
13,5,0,3
14,5,17,2
15,5,17,1
16,6,2,3
17,6,6,1
18,6,23,2
19,6,17,2
20,7,22,3
21,8,22,2
22,8,16,1
23,8,7,1
24,8,8,2
25,9,14,1
26,9,15,3
27,10,26,1
28,10,5,2
29,10,20,1
30,10,8,3
31,10,17,1
32,11,6,1
33,11,21,3
34,12,18,3
35,12,21,2
36,12,0,2
37,12,13,3
38,12,19,2
39,13,19,2
40,13,2,2
41,13,27,2
42,15,8,3
43,15,23,2
44,16,3,2
45,16,15,1
46,16,20,3
47,16,26,3
48,17,23,1
49,18,13,2
50,18,22,1
51,18,6,2
52,18,14,2
53,18,25,1
54,19,5,3
55,19,2,2
56,20,8,1
57,20,27,2
58,20,7,2
59,20,2,3
60,21,23,1
61,21,21,3
62,22,28,3
63,22,18,3
64,22,1,1
65,22,6,3
66,22,18,2
67,23,25,3
68,23,5,2
69,23,6,1
70,25,16,2
71,25,5,2
72,25,5,1
73,25,24,3
74,25,20,2
75,26,23,2
76,26,17,2
77,27,17,1
78,27,16,1
79,28,28,2
80,28,3,3
81,28,7,2
82,28,17,1
83,29,22,3
84,30,28,2
85,30,3,1
86,30,0,3
87,31,2,1
88,31,6,1
89,31,14,2
90,32,27,3
91,32,12,3
92,32,4,2
93,32,27,3
94,34,19,1
95,35,4,2
96,36,18,3
97,36,27,1
98,36,23,2
99,37,0,3
100,37,8,2
101,37,5,1
102,37,21,2
103,38,2,1
104,38,19,3
105,39,7,2
106,39,13,2
107,40,1,3
108,41,17,2
109,42,15,1
110,43,27,1
111,43,5,3
112,43,2,3
113,43,11,1
114,43,20,3
115,44,5,2
116,44,10,1
117,44,10,2
118,45,26,2
119,45,12,3
120,45,15,2
121,46,12,2
122,46,26,1
123,46,6,1
124,47,13,1
125,47,23,1
126,47,2,1
127,47,4,2
128,48,28,3
129,48,17,3
130,48,20,2
131,48,0,2
132,49,2,3
133,49,14,3
134,50,20,2
135,50,21,1
136,50,25,1
137,50,17,2
138,50,15,2
139,53,22,3
140,53,3,3
141,53,5,3
142,53,18,3
143,54,27,3
144,54,6,3
145,54,9,1
146,55,5,1
147,55,0,2
148,56,18,2
149,56,26,3
150,56,0,2
151,56,11,3
152,56,25,3
153,57,1,1
154,57,1,1
155,57,22,1
156,57,6,1
157,57,22,3
158,58,19,3
159,58,25,1
160,59,13,1
161,59,22,3
162,60,14,1
163,60,4,2
164,61,1,1
165,61,12,1
166,61,1,3
167,61,14,3
168,62,20,3
169,62,15,2
170,63,14,3
171,63,14,1
172,63,3,3
173,63,28,2
174,63,18,1
175,64,27,1
176,64,19,1
177,64,18,3
178,64,20,1
179,64,0,2
180,65,20,2
181,65,7,2
182,65,0,1
183,65,16,3
184,66,22,1
185,66,17,2
186,66,26,3
187,66,23,1
188,67,11,1
189,67,0,2
190,68,17,2
191,68,25,1
192,71,5,2
193,71,13,3
194,71,2,2
195,72,16,2
196,73,15,3
197,73,17,2
198,73,20,3
199,75,5,2
200,76,28,2
201,76,5,2
202,76,11,3
203,77,3,2
204,77,2,1
205,77,26,3
206,78,28,2
207,79,26,2
208,79,4,1
209,79,25,2
210,79,28,2
211,79,13,3
212,80,7,1
213,81,21,1
214,81,13,1
215,81,26,1
216,82,15,1
217,82,13,3
218,83,13,3
219,83,22,3
220,83,17,3
221,83,14,2
222,84,1,2
223,84,28,3
224,84,28,1
225,85,15,1
226,86,12,3
227,86,0,3
228,87,22,2
229,87,6,3
230,87,13,3
231,87,24,2
232,87,2,1
233,88,26,1
234,88,26,1
235,88,4,3
236,89,22,1
237,89,25,1
238,89,2,2
239,90,21,2
240,90,27,1
241,90,0,3
242,91,5,1
243,92,7,2
244,93,20,2
245,93,12,3
246,93,6,2
247,93,5,1
248,93,9,1
249,94,9,2
250,94,7,2
251,94,20,2
252,94,5,1
253,95,17,2
254,95,22,3
255,95,15,3
256,96,16,3
257,96,17,3
258,96,18,1
259,96,27,3
260,96,0,1
261,97,1,1
262,97,23,1
263,97,11,1
264,97,26,2
265,98,27,1
266,98,11,3
267,98,1,1
268,99,13,1
269,99,8,1
270,101,4,3
271,101,5,3
272,101,10,2
273,101,4,1
274,103,27,1
275,103,10,1
276,103,6,2
277,103,3,2
278,103,24,2
279,104,15,2
280,104,9,3
281,104,7,2
282,104,12,3
283,104,17,2
284,105,26,1
285,105,15,1
286,105,4,2
287,105,19,2
288,106,3,1
289,106,2,3
290,107,28,1
291,107,13,1
292,108,17,1
293,108,25,3
294,109,8,2
295,110,23,2
296,110,3,1
297,110,22,1
298,110,0,2
299,110,17,3
300,111,0,1
301,111,24,2
302,111,19,3
303,112,1,1
304,112,14,1
305,113,6,3
306,113,14,1
307,114,28,1
308,114,12,1
309,114,19,2
310,114,8,2
311,114,1,3
312,116,4,3
313,117,18,2
314,117,8,3
315,117,19,1
316,117,1,3
317,117,19,1
318,118,28,3
319,118,2,2
320,119,14,3
321,121,0,1
322,121,2,3
323,121,28,3
324,121,2,2
325,122,25,3
326,122,1,1
327,123,21,3
328,123,13,2
329,123,9,3
330,123,18,1
331,123,27,2
332,125,26,1
333,125,24,3
334,125,10,3
335,125,9,1
336,126,7,3
337,126,6,3
338,126,22,3
339,129,11,1
340,129,27,2
341,130,4,3
342,130,0,1
343,130,0,1
344,131,28,2
345,132,0,3
346,133,19,1
347,133,8,2
348,133,17,1
349,133,18,2
350,135,4,1
351,135,23,1
352,135,10,3
353,135,9,2
354,136,6,2
355,136,13,2
356,136,10,2
357,138,11,1
358,138,6,3
359,138,27,3
360,139,28,2
361,140,10,1
362,140,20,3
363,140,26,2
364,141,25,2
365,141,16,1
366,141,21,1
367,141,28,2
368,141,17,1
369,142,15,1
370,142,21,2
371,143,2,3
372,143,25,3
373,143,2,3
374,143,5,3
375,145,9,2
376,146,28,3
377,146,8,1
378,146,15,3
379,146,3,1
380,146,14,1
381,147,26,1
382,148,2,1
383,148,19,2
384,148,15,1
385,148,2,3
386,149,25,2
387,149,2,1
388,149,5,2
389,149,26,1
390,150,27,2
391,150,15,2
392,150,18,3
393,150,21,1
394,151,13,3
395,151,8,1
396,152,8,1
397,152,13,2
398,152,20,2
399,152,3,2
400,152,16,3
401,153,16,3
402,154,5,3
403,154,6,1
404,155,25,2
405,155,14,1
406,155,28,3
407,155,8,3
408,156,3,2
409,157,15,1
410,157,11,1
411,158,0,2
412,158,26,3
413,158,10,2
414,159,10,3
415,159,20,1
416,159,10,2
417,159,2,3
418,160,17,2
419,160,27,3
420,162,19,2
421,163,7,3
422,163,27,3
423,164,23,3
424,165,6,2
425,166,25,3
426,166,11,2
427,166,0,3
428,166,2,3
429,167,4,2
430,167,1,2
431,168,12,1
432,168,28,3
433,168,9,2
434,169,15,2
435,169,23,1
436,169,5,1
437,171,23,3
438,171,28,1
439,171,20,2
440,171,17,2
441,171,28,2
442,172,14,1
443,173,16,2
444,174,19,1
445,175,15,3
446,175,16,2
447,176,27,3
448,176,20,1
449,176,13,3
450,177,1,2
451,177,5,1
452,177,27,1
453,178,11,2
454,178,5,2
455,178,9,1
456,178,6,1
457,178,22,1
458,179,21,2
459,179,11,3
460,179,2,2
461,181,12,2
462,181,2,1
463,181,19,3
464,181,21,2
465,182,6,3
466,183,7,2
467,183,24,2
468,183,23,2
469,184,19,3
470,184,15,2
471,184,21,3
472,185,0,1
473,185,2,1
474,185,26,1
475,186,2,1
476,186,11,3
477,186,15,1
478,186,11,3
479,186,11,2
480,187,27,3
481,187,13,2
482,187,6,1
483,187,6,1
484,187,18,3
485,188,15,2
486,188,4,3
487,188,24,2
488,188,10,1
489,190,13,1
490,190,25,3
491,191,17,3
492,191,26,3
493,192,11,1
494,192,9,2
495,192,7,3
496,192,1,3
497,192,1,3
498,193,6,1
499,193,25,2
500,193,24,1
501,194,17,2
502,194,0,3
503,194,13,1
504,194,27,3
505,194,24,2
506,195,1,2
507,195,1,1
508,195,23,1
509,196,13,2
510,197,17,2
511,197,8,1
512,197,0,2
513,197,24,2
514,198,27,2
515,198,22,2
516,198,7,3
517,198,16,1
518,200,10,3
519,200,25,1
520,200,13,2
521,200,9,3
522,201,25,2
523,201,8,2
524,201,28,1
525,201,22,3
526,201,3,1
527,202,6,1
528,202,23,2
529,202,28,1
530,202,9,2
531,202,18,1
532,203,27,2
533,203,4,3
534,204,28,3
535,204,17,3
536,204,21,1
537,204,10,3
538,205,26,3
539,206,12,1
