transaction_id,wallet_id_send,wallet_id_got
1,1,72.6
2,2,40.84
3,3,69.76
4,4,63.44
5,5,27.83
6,6,53.0
7,7,30.86
8,8,52.05
9,9,8.56
10,10,56.42
11,11,42.66
12,12,6.4
13,13,14.36
14,14,9.82
15,15,27.31
16,16,60.18
17,17,67.7
18,18,20.12
19,19,0.68
20,20,97.74
21,21,11.88
22,22,84.39
23,23,64.07
24,24,10.68
25,25,57.39
26,26,88.72
27,27,6.16
28,28,24.86
29,29,46.82
30,30,15.68
31,31,25.36
32,32,29.38
33,33,3.32
34,34,35.99
35,35,85.46
36,36,52.73
37,37,39.27
38,38,23.16
39,39,15.53
40,40,31.86
41,41,25.09
42,42,70.91
43,43,50.78
44,44,75.36
45,45,17.85
46,46,38.05
47,47,70.02
48,48,45.84
49,49,3.1
50,50,56.86
51,51,65.21
52,52,78.48
53,53,43.96
54,54,86.58
55,55,58.33
56,56,69.45
57,57,21.4
58,58,59.94
59,59,19.91
60,60,21.29
61,61,82.15
62,62,13.93
63,63,34.94
64,64,94.57
65,65,27.82
66,66,53.57
67,67,38.19
68,68,90.57
69,69,91.84
70,70,40.98
71,71,48.45
72,72,26.9
73,73,78.31
74,74,7.81
75,75,68.55
76,76,67.11
77,77,51.08
78,78,97.15
79,79,95.32
80,80,80.41
81,81,8.36
82,82,89.04
83,83,99.99
84,84,63.24
85,85,38.7
86,86,74.51
87,87,1.46
88,88,59.41
89,89,0.57
90,90,71.08
91,91,19.8
92,92,59.85
93,93,21.79
94,94,56.99
95,95,10.41
96,96,49.91
97,97,73.69
98,98,16.96
99,99,92.71
100,100,53.45
101,101,89.77
102,102,7.56
103,103,13.43
104,104,88.94
105,105,64.3
106,106,79.53
107,107,99.05
108,108,64.9
109,109,37.97
110,110,34.12
111,111,41.25
112,112,96.6
113,113,61.41
114,114,38.85
115,115,83.46
116,116,97.2
117,117,43.57
118,118,42.85
119,119,86.44
120,120,64.85
121,121,14.53
122,122,3.09
123,123,4.21
124,124,89.04
125,125,68.47
126,126,71.03
127,127,41.88
128,128,75.63
129,129,93.36
130,130,11.53
131,131,13.51
132,132,34.45
133,133,5.2
134,134,80.75
135,135,17.15
136,136,26.74
137,137,43.08
138,138,11.35
139,139,51.08
140,140,42.04
141,141,27.89
142,142,24.03
143,143,39.43
144,144,71.73
145,145,43.36
146,146,57.12
147,147,54.21
148,148,15.06
149,149,52.62
150,150,67.53
151,151,38.46
152,152,45.69
153,153,2.29
154,154,18.21
155,155,88.92
156,156,53.79
157,157,93.41
158,158,75.14
159,159,28.33
160,160,28.13
161,161,40.77
162,162,71.45
163,163,5.03
164,164,85.86
165,165,9.0
166,166,27.48
167,167,87.8
168,168,73.94
169,169,8.91
170,170,7.97
171,171,8.06
172,172,94.76
173,173,77.98
174,174,18.66
175,175,77.38
176,176,26.16
177,177,26.74
178,178,12.76
179,179,30.0
180,180,53.24
181,181,98.79
182,182,77.42
183,183,63.47
184,184,34.76
185,185,75.55
186,186,85.81
187,187,64.49
188,188,73.42
189,189,60.92
190,190,92.86
191,191,64.98
192,192,93.26
193,193,1.72
194,194,73.29
195,195,94.1
196,196,55.58
197,197,15.34
198,198,37.43
199,199,12.77
200,200,38.79
201,201,10.29
202,202,80.21
203,203,95.54
204,204,22.5
205,205,10.66
206,206,33.1
207,207,38.99
208,208,14.61
209,209,38.74
210,210,96.01
211,211,24.62
212,212,66.84
213,213,58.15
214,214,16.73
215,215,79.65
216,216,94.54
217,217,17.44
218,218,7.65
219,219,5.0
220,220,49.65
221,221,52.43
222,222,88.57
223,223,19.49
224,224,76.07
225,225,88.96
226,226,0.71
227,227,26.5
228,228,81.67
229,229,86.11
230,230,77.85
231,231,95.2
232,232,39.17
233,233,14.9
234,234,56.89
235,235,82.71
236,236,82.23
237,237,82.77
238,238,3.5
239,239,8.55
